image_name,vessel_pixel_count,vessel_area_ratio,vessel_density
0005_im.png,11503,0.1755,0.1755
0009_im.png,11496,0.1754,0.1754
0013_im.png,11188,0.1707,0.1707
0015_im.png,10850,0.1656,0.1656
0016_im.png,10228,0.1561,0.1561
0022_im.png,10683,0.163,0.163
0023_im.png,11364,0.1734,0.1734
0060_im.png,7740,0.1181,0.1181
0067_im.png,9378,0.1431,0.1431
0075_im.png,9175,0.14,0.14
0076_im.png,8158,0.1245,0.1245
0084_im.png,6665,0.1017,0.1017
0089_im.png,8290,0.1265,0.1265
0093_im.png,9350,0.1427,0.1427
0097_im.png,10851,0.1656,0.1656
0101_im.png,10245,0.1563,0.1563
0107_im.png,8581,0.1309,0.1309
0117_im.png,9389,0.1433,0.1433
0119_im.png,9957,0.1519,0.1519
0120_im.png,8570,0.1308,0.1308
0132_im.png,6592,0.1006,0.1006
0133_im.png,4310,0.0658,0.0658
0146_im.png,8096,0.1235,0.1235
0149_im.png,6391,0.0975,0.0975
0156_im.png,8506,0.1298,0.1298
0159_im.png,8506,0.1298,0.1298
0165_im.png,6483,0.0989,0.0989
0172_im.png,7385,0.1127,0.1127
0173_im.png,7094,0.1082,0.1082
0178_im.png,7740,0.1181,0.1181
0179_im.png,5602,0.0855,0.0855
0180_im.png,6601,0.1007,0.1007
0185_im.png,3652,0.0557,0.0557
0187_im.png,7742,0.1181,0.1181
0189_im.png,0,0.0,0.0
0190_im.png,0,0.0,0.0
0193_im.png,6695,0.1022,0.1022
0194_im.png,8250,0.1259,0.1259
0199_im.png,8120,0.1239,0.1239
0201_im.png,9697,0.148,0.148
0202_im.png,7039,0.1074,0.1074
0208_im.png,7954,0.1214,0.1214
0212_im.png,7358,0.1123,0.1123
0219_im.png,7286,0.1112,0.1112
0222_im.png,8723,0.1331,0.1331
0231_im.png,8940,0.1364,0.1364
0248_im.png,7999,0.1221,0.1221
0252_im.png,9599,0.1465,0.1465
0263_im.png,9131,0.1393,0.1393
0266_im.png,9368,0.1429,0.1429
0269_im.png,7898,0.1205,0.1205
0283_im.png,8326,0.127,0.127
0289_im.png,7564,0.1154,0.1154
0290_im.png,9270,0.1414,0.1414
0292_im.png,4652,0.071,0.071
0295_im.png,8995,0.1373,0.1373
0298_im.png,8657,0.1321,0.1321
0303_im.png,2587,0.0395,0.0395
0304_im.png,8951,0.1366,0.1366
0310_im.png,8586,0.131,0.131
0313_im.png,9492,0.1448,0.1448
0314_im.png,2388,0.0364,0.0364
0315_im.png,7519,0.1147,0.1147
0316_im.png,8445,0.1289,0.1289
0318_im.png,9018,0.1376,0.1376
0319_im.png,9412,0.1436,0.1436
0320_im.png,7835,0.1196,0.1196
0334_im.png,9434,0.144,0.144
0342_im.png,8587,0.131,0.131
0346_im.png,8677,0.1324,0.1324
0348_im.png,9262,0.1413,0.1413
0352_im.png,7982,0.1218,0.1218
0355_im.png,9033,0.1378,0.1378
0377_im.png,4740,0.0723,0.0723
0395_im.png,6494,0.0991,0.0991
0397_im.png,7828,0.1194,0.1194
0402_im.png,9413,0.1436,0.1436
0410_im.png,9507,0.1451,0.1451
0412_im.png,3557,0.0543,0.0543
0415_im.png,7861,0.1199,0.1199
0416_im.png,9362,0.1429,0.1429
0419_im.png,6002,0.0916,0.0916
0422_im.png,9092,0.1387,0.1387
0427_im.png,8017,0.1223,0.1223
0428_im.png,8024,0.1224,0.1224
0429_im.png,6709,0.1024,0.1024
0438_im.png,9657,0.1474,0.1474
0450_im.png,8353,0.1275,0.1275
0452_im.png,8298,0.1266,0.1266
0453_im.png,9752,0.1488,0.1488
0458_im.png,7432,0.1134,0.1134
0463_im.png,9462,0.1444,0.1444
0472_im.png,569,0.0087,0.0087
0477_im.png,7419,0.1132,0.1132
0478_im.png,8658,0.1321,0.1321
0479_im.png,8404,0.1282,0.1282
0484_im.png,6251,0.0954,0.0954
0485_im.png,3832,0.0585,0.0585
0486_im.png,5927,0.0904,0.0904
0490_im.png,10312,0.1573,0.1573
0492_im.png,6358,0.097,0.097
0493_im.png,1224,0.0187,0.0187
0499_im.png,5062,0.0772,0.0772
0500_im.png,7596,0.1159,0.1159
0507_im.png,922,0.0141,0.0141
0511_im.png,8709,0.1329,0.1329
0520_im.png,5043,0.077,0.077
0528_im.png,9020,0.1376,0.1376
0529_im.png,4834,0.0738,0.0738
0536_im.png,4953,0.0756,0.0756
0538_im.png,6662,0.1017,0.1017
0543_im.png,5804,0.0886,0.0886
0551_im.png,5676,0.0866,0.0866
0557_im.png,3375,0.0515,0.0515
0558_im.png,10164,0.1551,0.1551
0562_im.png,9134,0.1394,0.1394
0566_im.png,8129,0.124,0.124
0593_im.png,10118,0.1544,0.1544
0597_im.png,8584,0.131,0.131
