epoch,train_loss,train_dice,val_loss,val_dice
1,0.475418,0.513964,0.36078,0.63774
2,0.309311,0.678966,0.297671,0.689965
3,0.276966,0.70428,0.282811,0.716256
4,0.257538,0.723467,0.272275,0.721493
5,0.247565,0.732708,0.251473,0.746693
6,0.242485,0.736946,0.303039,0.710528
7,0.240097,0.738961,0.250763,0.739067
8,0.23403,0.745547,0.240159,0.729655
9,0.233548,0.745602,0.240355,0.74103
10,0.230247,0.748408,0.224945,0.759825
11,0.226021,0.752445,0.216325,0.759501
12,0.225557,0.753072,0.238723,0.751746
13,0.224512,0.753924,0.227608,0.750063
14,0.226346,0.751062,0.239339,0.761562
15,0.219951,0.758029,0.224253,0.759246
16,0.220862,0.756406,0.232135,0.758338
17,0.222554,0.755223,0.243362,0.745481
18,0.218874,0.758109,0.218276,0.779142
19,0.217886,0.759368,0.229313,0.751786
20,0.217885,0.759612,0.242078,0.754555
21,0.217203,0.759927,0.228241,0.763919
22,0.214603,0.76228,0.214509,0.775973
23,0.215248,0.762014,0.217378,0.765303
24,0.215039,0.761098,0.213386,0.777244
25,0.213414,0.762982,0.237378,0.753903
