epoch,train_loss,train_dice,val_loss,val_dice,train_iou,train_precision,train_recall,train_accuracy,train_sensitivity,train_specificity,val_iou,val_precision,val_recall,val_accuracy,val_sensitivity,val_specificity
1,0.708445,0.265583,0.643033,0.338357,0.15637,0.163544,0.864358,0.574145,0.864358,0.548983,0.207438,0.228806,0.715223,0.785792,0.715223,0.789068
2,0.610009,0.383939,0.603678,0.407008,0.241304,0.263713,0.756496,0.805216,0.756496,0.809128,0.260667,0.2989,0.683853,0.849413,0.683853,0.861438
3,0.581137,0.414377,0.582011,0.412235,0.265582,0.292984,0.750991,0.831623,0.750991,0.838202,0.263991,0.2971,0.708012,0.850288,0.708012,0.860047
4,0.565348,0.429902,0.576991,0.396235,0.278295,0.307404,0.756324,0.841268,0.756324,0.848128,0.251548,0.275683,0.757094,0.827126,0.757094,0.83176
5,0.552854,0.441927,0.569318,0.455475,0.288181,0.317839,0.760288,0.848623,0.760288,0.855583,0.29987,0.352808,0.671729,0.883046,0.671729,0.89864
6,0.545681,0.449521,0.551762,0.44772,0.294522,0.325011,0.766663,0.852403,0.766663,0.859369,0.293376,0.333583,0.714325,0.868027,0.714325,0.878447
7,0.5375,0.456511,0.562171,0.487253,0.30045,0.330886,0.771807,0.855852,0.771807,0.8626,0.327209,0.402661,0.646663,0.89883,0.646663,0.917455
8,0.529707,0.464411,0.541996,0.467129,0.306962,0.337518,0.773544,0.860678,0.773544,0.867476,0.309419,0.352969,0.718233,0.880601,0.718233,0.892403
9,0.523048,0.471057,0.533883,0.462145,0.312654,0.343696,0.777762,0.863738,0.777762,0.870447,0.30545,0.341727,0.741123,0.874012,0.741123,0.883304
10,0.51857,0.474121,0.526596,0.468198,0.315332,0.345893,0.781541,0.864905,0.781541,0.871275,0.310329,0.346765,0.746136,0.87489,0.746136,0.883748
11,0.514312,0.478655,0.529325,0.482532,0.319218,0.34991,0.785346,0.86669,0.785346,0.872948,0.323025,0.372628,0.716957,0.884441,0.716957,0.89582
12,0.510294,0.482638,0.524115,0.479187,0.322712,0.353615,0.787821,0.868748,0.787821,0.875011,0.319836,0.364089,0.728682,0.882226,0.728682,0.892293
13,0.505955,0.485727,0.521623,0.463203,0.325299,0.355971,0.790649,0.869785,0.790649,0.875764,0.306092,0.339111,0.765964,0.867818,0.765964,0.874025
14,0.502748,0.490062,0.519421,0.485028,0.329173,0.360199,0.792883,0.87176,0.792883,0.877746,0.324722,0.367079,0.736326,0.885778,0.736326,0.895922
15,0.498921,0.493419,0.518216,0.497012,0.332036,0.362856,0.795546,0.873063,0.795546,0.878864,0.33541,0.386493,0.72389,0.892006,0.72389,0.9034
16,0.496611,0.494947,0.513266,0.481811,0.333425,0.364021,0.797994,0.873579,0.797994,0.879226,0.321824,0.359958,0.756488,0.880553,0.756488,0.888785
17,0.494968,0.497198,0.507644,0.492656,0.335403,0.366375,0.799654,0.874363,0.799654,0.879975,0.331619,0.372897,0.751283,0.885997,0.751283,0.894902
18,0.490824,0.500706,0.506218,0.474856,0.338339,0.369288,0.801157,0.875983,0.801157,0.881476,0.315892,0.347682,0.779053,0.871851,0.779053,0.877168
19,0.488347,0.502487,0.503752,0.490845,0.340026,0.370724,0.803794,0.876707,0.803794,0.882173,0.329802,0.367341,0.761743,0.882502,0.761743,0.890161
20,0.486706,0.504729,0.508269,0.503302,0.341888,0.372688,0.805421,0.877278,0.805421,0.882524,0.341072,0.38851,0.740225,0.892903,0.740225,0.903399
21,0.484034,0.506967,0.50175,0.468917,0.344008,0.374683,0.806312,0.878349,0.806312,0.883616,0.310816,0.337286,0.798309,0.866193,0.798309,0.869721
22,0.481914,0.508176,0.500576,0.485737,0.345156,0.37566,0.809106,0.878574,0.809106,0.883682,0.325697,0.359636,0.780969,0.878263,0.780969,0.88457
23,0.479174,0.511585,0.508876,0.5164,0.348074,0.378621,0.810567,0.88008,0.810567,0.885238,0.352912,0.41171,0.724486,0.901092,0.724486,0.913326
24,0.478029,0.512056,0.51134,0.516801,0.348482,0.37876,0.811711,0.880072,0.811711,0.88502,0.353253,0.412356,0.719935,0.902841,0.719935,0.916164
25,0.475584,0.514623,0.492678,0.496323,0.350573,0.380915,0.81221,0.881156,0.81221,0.886037,0.334943,0.369893,0.78272,0.882932,0.78272,0.889287
26,0.474818,0.515137,0.494268,0.507048,0.351275,0.381437,0.814428,0.88098,0.814428,0.885789,0.344628,0.386021,0.763657,0.889608,0.763657,0.897731
27,0.473003,0.517641,0.491061,0.503284,0.353482,0.383982,0.814783,0.882327,0.814783,0.887243,0.340532,0.378705,0.773344,0.887623,0.773344,0.894867
28,0.471751,0.51817,0.489678,0.505619,0.353976,0.384491,0.816085,0.882201,0.816085,0.886932,0.343021,0.382219,0.775068,0.887706,0.775068,0.894747
29,0.468866,0.51988,0.499136,0.526065,0.355375,0.385129,0.819124,0.88242,0.819124,0.886899,0.362059,0.416117,0.738553,0.902592,0.738553,0.914534
30,0.468157,0.52141,0.49332,0.498513,0.356971,0.387055,0.818431,0.883623,0.818431,0.888256,0.33631,0.373305,0.774352,0.883581,0.774352,0.890186
